testname,nqtl,nsnps,h2,chrom,females,males,crosses,gamma,shape,pulleach,burnins,gens
scenario1,1000,1000,0.5,10,500,50,2000,FALSE,NULL,5,5,25
scenario2,500,1000,0.5,10,500,50,2000,FALSE,NULL,5,5,25
scenario3,250,1000,0.5,10,500,50,2000,FALSE,NULL,5,5,25
scenario4,100,1000,0.5,10,500,50,2000,FALSE,NULL,5,5,25
scenario5,50,1000,0.5,10,500,50,2000,FALSE,NULL,5,5,25
scenario6,20,1000,0.5,10,500,50,2000,FALSE,NULL,5,5,25
scenario7,10,1000,0.5,10,500,50,2000,FALSE,NULL,5,5,25
scenario8,1,1000,0.5,10,500,50,2000,FALSE,NULL,5,5,25
scenario9,1000,1000,0.5,10,500,50,2000,TRUE,0.42,5,5,25
scenario10,500,1000,0.5,10,500,50,2000,TRUE,0.42,5,5,25
scenario11,250,1000,0.5,10,500,50,2000,TRUE,0.42,5,5,25
scenario12,100,1000,0.5,10,500,50,2000,TRUE,0.42,5,5,25
scenario13,50,1000,0.5,10,500,50,2000,TRUE,0.42,5,5,25
scenario14,20,1000,0.5,10,500,50,2000,TRUE,0.42,5,5,25
scenario15,10,1000,0.5,10,500,50,2000,TRUE,0.42,5,5,25
scenario16,1,1000,0.5,10,500,50,2000,TRUE,0.42,5,5,25
scenario17,1000,1000,0.5,10,500,50,2000,TRUE,1.48,5,5,25
scenario18,500,1000,0.5,10,500,50,2000,TRUE,1.48,5,5,25
scenario19,250,1000,0.5,10,500,50,2000,TRUE,1.48,5,5,25
scenario20,100,1000,0.5,10,500,50,2000,TRUE,1.48,5,5,25
scenario21,50,1000,0.5,10,500,50,2000,TRUE,1.48,5,5,25
scenario22,20,1000,0.5,10,500,50,2000,TRUE,1.48,5,5,25
scenario23,10,1000,0.5,10,500,50,2000,TRUE,1.48,5,5,25
scenario24,1,1000,0.5,10,500,50,2000,TRUE,1.48,5,5,25
scenario25,1000,1000,0.5,10,500,25,2000,FALSE,NULL,5,5,25
scenario26,500,1000,0.5,10,500,25,2000,FALSE,NULL,5,5,25
scenario27,250,1000,0.5,10,500,25,2000,FALSE,NULL,5,5,25
scenario28,100,1000,0.5,10,500,25,2000,FALSE,NULL,5,5,25
scenario29,50,1000,0.5,10,500,25,2000,FALSE,NULL,5,5,25
scenario30,20,1000,0.5,10,500,25,2000,FALSE,NULL,5,5,25
scenario31,10,1000,0.5,10,500,25,2000,FALSE,NULL,5,5,25
scenario32,1,1000,0.5,10,500,25,2000,FALSE,NULL,5,5,25
scenario33,1000,1000,0.5,10,500,25,2000,TRUE,0.42,5,5,25
scenario34,500,1000,0.5,10,500,25,2000,TRUE,0.42,5,5,25
scenario35,250,1000,0.5,10,500,25,2000,TRUE,0.42,5,5,25
scenario36,100,1000,0.5,10,500,25,2000,TRUE,0.42,5,5,25
scenario37,50,1000,0.5,10,500,25,2000,TRUE,0.42,5,5,25
scenario38,20,1000,0.5,10,500,25,2000,TRUE,0.42,5,5,25
scenario39,10,1000,0.5,10,500,25,2000,TRUE,0.42,5,5,25
scenario40,1,1000,0.5,10,500,25,2000,TRUE,0.42,5,5,25
scenario41,1000,1000,0.5,10,500,25,2000,TRUE,1.48,5,5,25
scenario42,500,1000,0.5,10,500,25,2000,TRUE,1.48,5,5,25
scenario43,250,1000,0.5,10,500,25,2000,TRUE,1.48,5,5,25
scenario44,100,1000,0.5,10,500,25,2000,TRUE,1.48,5,5,25
scenario45,50,1000,0.5,10,500,25,2000,TRUE,1.48,5,5,25
scenario46,20,1000,0.5,10,500,25,2000,TRUE,1.48,5,5,25
scenario47,10,1000,0.5,10,500,25,2000,TRUE,1.48,5,5,25
scenario48,1,1000,0.5,10,500,25,2000,TRUE,1.48,5,5,25
scenario49,1000,1000,0.5,10,500,10,2000,FALSE,NULL,5,5,25
scenario50,500,1000,0.5,10,500,10,2000,FALSE,NULL,5,5,25
scenario51,250,1000,0.5,10,500,10,2000,FALSE,NULL,5,5,25
scenario52,100,1000,0.5,10,500,10,2000,FALSE,NULL,5,5,25
scenario53,50,1000,0.5,10,500,10,2000,FALSE,NULL,5,5,25
scenario54,20,1000,0.5,10,500,10,2000,FALSE,NULL,5,5,25
scenario55,10,1000,0.5,10,500,10,2000,FALSE,NULL,5,5,25
scenario56,1,1000,0.5,10,500,10,2000,FALSE,NULL,5,5,25
scenario57,1000,1000,0.5,10,500,10,2000,TRUE,0.42,5,5,25
scenario58,500,1000,0.5,10,500,10,2000,TRUE,0.42,5,5,25
scenario59,250,1000,0.5,10,500,10,2000,TRUE,0.42,5,5,25
scenario60,100,1000,0.5,10,500,10,2000,TRUE,0.42,5,5,25
scenario61,50,1000,0.5,10,500,10,2000,TRUE,0.42,5,5,25
scenario62,20,1000,0.5,10,500,10,2000,TRUE,0.42,5,5,25
scenario63,10,1000,0.5,10,500,10,2000,TRUE,0.42,5,5,25
scenario64,1,1000,0.5,10,500,10,2000,TRUE,0.42,5,5,25
scenario65,1000,1000,0.5,10,500,10,2000,TRUE,1.48,5,5,25
scenario66,500,1000,0.5,10,500,10,2000,TRUE,1.48,5,5,25
scenario67,250,1000,0.5,10,500,10,2000,TRUE,1.48,5,5,25
scenario68,100,1000,0.5,10,500,10,2000,TRUE,1.48,5,5,25
scenario69,50,1000,0.5,10,500,10,2000,TRUE,1.48,5,5,25
scenario70,20,1000,0.5,10,500,10,2000,TRUE,1.48,5,5,25
scenario71,10,1000,0.5,10,500,10,2000,TRUE,1.48,5,5,25
scenario72,1,1000,0.5,10,500,10,2000,TRUE,1.48,5,5,25
