testname,nqtl,nsnps,h2,chrom,females,males,crosses,gamma,shape,pulleach,burnins,gens,burnincrosses
scenario214,100,1000,0.5,10,500,50,2000,FALSE,NULL,5,5,25,2000
scenario215,50,1000,0.5,10,500,50,2000,FALSE,NULL,5,5,25,2000
scenario216,20,1000,0.5,10,500,50,2000,FALSE,NULL,5,5,25,2000
scenario217,100,1000,0.5,10,500,50,2000,TRUE,0.42,5,5,25,2000
scenario218,50,1000,0.5,10,500,50,2000,TRUE,0.42,5,5,25,2000
scenario219,20,1000,0.5,10,500,50,2000,TRUE,0.42,5,5,25,2000
scenario220,100,1000,0.5,10,500,50,4000,FALSE,NULL,10,5,25,2000
scenario221,50,1000,0.5,10,500,50,4000,FALSE,NULL,10,5,25,2000
scenario222,20,1000,0.5,10,500,50,4000,FALSE,NULL,10,5,25,2000
scenario223,100,1000,0.5,10,500,50,4000,TRUE,0.42,10,5,25,2000
scenario224,50,1000,0.5,10,500,50,4000,TRUE,0.42,10,5,25,2000
scenario225,20,1000,0.5,10,500,50,4000,TRUE,0.42,10,5,25,2000
scenario226,100,1000,0.5,10,500,50,8000,FALSE,NULL,20,5,25,2000
scenario227,50,1000,0.5,10,500,50,8000,FALSE,NULL,20,5,25,2000
scenario228,20,1000,0.5,10,500,50,8000,FALSE,NULL,20,5,25,2000
scenario229,100,1000,0.5,10,500,50,8000,TRUE,0.42,20,5,25,2000
scenario230,50,1000,0.5,10,500,50,8000,TRUE,0.42,20,5,25,2000
scenario231,20,1000,0.5,10,500,50,8000,TRUE,0.42,20,5,25,2000
scenario232,100,1000,0.2,10,500,50,4000,FALSE,NULL,10,5,25,2000
scenario233,50,1000,0.2,10,500,50,4000,FALSE,NULL,10,5,25,2000
scenario234,20,1000,0.2,10,500,50,4000,FALSE,NULL,10,5,25,2000
scenario235,100,1000,0.2,10,500,50,4000,TRUE,0.42,10,5,25,2000
scenario236,50,1000,0.2,10,500,50,4000,TRUE,0.42,10,5,25,2000
scenario237,20,1000,0.2,10,500,50,4000,TRUE,0.42,10,5,25,2000
scenario238,100,1000,0.2,10,500,50,8000,FALSE,NULL,20,5,25,2000
scenario239,50,1000,0.2,10,500,50,8000,FALSE,NULL,20,5,25,2000
scenario240,20,1000,0.2,10,500,50,8000,FALSE,NULL,20,5,25,2000
scenario241,100,1000,0.2,10,500,50,8000,TRUE,0.42,20,5,25,2000
scenario242,50,1000,0.2,10,500,50,8000,TRUE,0.42,20,5,25,2000
scenario243,20,1000,0.2,10,500,50,8000,TRUE,0.42,20,5,25,2000
