testname,nqtl,nsnps,h2,chrom,females,males,crosses,gamma,shape,burnins,pulln,burnincrosses
scenario274,100,1000,0.5,10,500,50,2500,FALSE,NULL,5,uneven_20gen,2000
scenario275,50,1000,0.5,10,500,50,2500,FALSE,NULL,5,uneven_20gen,2000
scenario276,20,1000,0.5,10,500,50,2500,FALSE,NULL,5,uneven_20gen,2000
scenario277,100,1000,0.5,10,500,50,2500,TRUE,0.42,5,uneven_20gen,2000
scenario278,50,1000,0.5,10,500,50,2500,TRUE,0.42,5,uneven_20gen,2000
scenario279,20,1000,0.5,10,500,50,2500,TRUE,0.42,5,uneven_20gen,2000
scenario280,100,1000,0.5,10,500,50,4000,FALSE,NULL,5,uneven_20gen,2000
scenario281,50,1000,0.5,10,500,50,4000,FALSE,NULL,5,uneven_20gen,2000
scenario282,20,1000,0.5,10,500,50,4000,FALSE,NULL,5,uneven_20gen,2000
scenario283,100,1000,0.5,10,500,50,4000,TRUE,0.42,5,uneven_20gen,2000
scenario284,50,1000,0.5,10,500,50,4000,TRUE,0.42,5,uneven_20gen,2000
scenario285,20,1000,0.5,10,500,50,4000,TRUE,0.42,5,uneven_20gen,2000
scenario286,100,1000,0.5,10,500,50,8000,FALSE,NULL,5,uneven_20gen,2000
scenario287,50,1000,0.5,10,500,50,8000,FALSE,NULL,5,uneven_20gen,2000
scenario288,20,1000,0.5,10,500,50,8000,FALSE,NULL,5,uneven_20gen,2000
scenario289,100,1000,0.5,10,500,50,8000,TRUE,0.42,5,uneven_20gen,2000
scenario290,50,1000,0.5,10,500,50,8000,TRUE,0.42,5,uneven_20gen,2000
scenario291,20,1000,0.5,10,500,50,8000,TRUE,0.42,5,uneven_20gen,2000
scenario292,100,1000,0.2,10,500,50,2500,FALSE,NULL,5,uneven_20gen,2000
scenario293,50,1000,0.2,10,500,50,2500,FALSE,NULL,5,uneven_20gen,2000
scenario294,20,1000,0.2,10,500,50,2500,FALSE,NULL,5,uneven_20gen,2000
scenario295,100,1000,0.2,10,500,50,2500,TRUE,0.42,5,uneven_20gen,2000
scenario296,50,1000,0.2,10,500,50,2500,TRUE,0.42,5,uneven_20gen,2000
scenario297,20,1000,0.2,10,500,50,2500,TRUE,0.42,5,uneven_20gen,2000
scenario298,100,1000,0.2,10,500,50,4000,FALSE,NULL,5,uneven_20gen,2000
scenario299,50,1000,0.2,10,500,50,4000,FALSE,NULL,5,uneven_20gen,2000
scenario300,20,1000,0.2,10,500,50,4000,FALSE,NULL,5,uneven_20gen,2000
scenario301,100,1000,0.2,10,500,50,4000,TRUE,0.42,5,uneven_20gen,2000
scenario302,50,1000,0.2,10,500,50,4000,TRUE,0.42,5,uneven_20gen,2000
scenario303,20,1000,0.2,10,500,50,4000,TRUE,0.42,5,uneven_20gen,2000
scenario304,100,1000,0.2,10,500,50,8000,FALSE,NULL,5,uneven_20gen,2000
scenario305,50,1000,0.2,10,500,50,8000,FALSE,NULL,5,uneven_20gen,2000
scenario306,20,1000,0.2,10,500,50,8000,FALSE,NULL,5,uneven_20gen,2000
scenario307,100,1000,0.2,10,500,50,8000,TRUE,0.42,5,uneven_20gen,2000
scenario308,50,1000,0.2,10,500,50,8000,TRUE,0.42,5,uneven_20gen,2000
scenario309,20,1000,0.2,10,500,50,8000,TRUE,0.42,5,uneven_20gen,2000
scenario310,100,1000,0.5,10,500,50,4000,FALSE,NULL,5,uneven_10gen,2000
scenario311,50,1000,0.5,10,500,50,4000,FALSE,NULL,5,uneven_10gen,2000
scenario312,20,1000,0.5,10,500,50,4000,FALSE,NULL,5,uneven_10gen,2000
scenario313,100,1000,0.5,10,500,50,4000,TRUE,0.42,5,uneven_10gen,2000
scenario314,50,1000,0.5,10,500,50,4000,TRUE,0.42,5,uneven_10gen,2000
scenario315,20,1000,0.5,10,500,50,4000,TRUE,0.42,5,uneven_10gen,2000
scenario316,100,1000,0.5,10,500,50,8000,FALSE,NULL,5,uneven_10gen,2000
scenario317,50,1000,0.5,10,500,50,8000,FALSE,NULL,5,uneven_10gen,2000
scenario318,20,1000,0.5,10,500,50,8000,FALSE,NULL,5,uneven_10gen,2000
scenario319,100,1000,0.5,10,500,50,8000,TRUE,0.42,5,uneven_10gen,2000
scenario320,50,1000,0.5,10,500,50,8000,TRUE,0.42,5,uneven_10gen,2000
scenario321,20,1000,0.5,10,500,50,8000,TRUE,0.42,5,uneven_10gen,2000
scenario322,100,1000,0.2,10,500,50,4000,FALSE,NULL,5,uneven_10gen,2000
scenario323,50,1000,0.2,10,500,50,4000,FALSE,NULL,5,uneven_10gen,2000
scenario324,20,1000,0.2,10,500,50,4000,FALSE,NULL,5,uneven_10gen,2000
scenario325,100,1000,0.2,10,500,50,4000,TRUE,0.42,5,uneven_10gen,2000
scenario326,50,1000,0.2,10,500,50,4000,TRUE,0.42,5,uneven_10gen,2000
scenario327,20,1000,0.2,10,500,50,4000,TRUE,0.42,5,uneven_10gen,2000
scenario328,100,1000,0.2,10,500,50,8000,FALSE,NULL,5,uneven_10gen,2000
scenario329,50,1000,0.2,10,500,50,8000,FALSE,NULL,5,uneven_10gen,2000
scenario330,20,1000,0.2,10,500,50,8000,FALSE,NULL,5,uneven_10gen,2000
scenario331,100,1000,0.2,10,500,50,8000,TRUE,0.42,5,uneven_10gen,2000
scenario332,50,1000,0.2,10,500,50,8000,TRUE,0.42,5,uneven_10gen,2000
scenario333,20,1000,0.2,10,500,50,8000,TRUE,0.42,5,uneven_10gen,2000
scenario316,100,1000,0.5,10,500,50,8000,FALSE,NULL,5,uneven_5gen,2000
scenario317,50,1000,0.5,10,500,50,8000,FALSE,NULL,5,uneven_5gen,2000
scenario318,20,1000,0.5,10,500,50,8000,FALSE,NULL,5,uneven_5gen,2000
scenario319,100,1000,0.5,10,500,50,8000,TRUE,0.42,5,uneven_5gen,2000
scenario320,50,1000,0.5,10,500,50,8000,TRUE,0.42,5,uneven_5gen,2000
scenario321,20,1000,0.5,10,500,50,8000,TRUE,0.42,5,uneven_5gen,2000
scenario328,100,1000,0.2,10,500,50,8000,FALSE,NULL,5,uneven_5gen,2000
scenario329,50,1000,0.2,10,500,50,8000,FALSE,NULL,5,uneven_5gen,2000
scenario330,20,1000,0.2,10,500,50,8000,FALSE,NULL,5,uneven_5gen,2000
scenario331,100,1000,0.2,10,500,50,8000,TRUE,0.42,5,uneven_5gen,2000
scenario332,50,1000,0.2,10,500,50,8000,TRUE,0.42,5,uneven_5gen,2000
scenario333,20,1000,0.2,10,500,50,8000,TRUE,0.42,5,uneven_5gen,2000
