testname,nqtl,nsnps,h2,chrom,females,males,crosses,gamma,shape,burnins,gens,burnincrosses
scenario334,100,5000,0.5,10,500,50,2500,FALSE,NULL,5,20,2000
scenario335,50,5000,0.5,10,500,50,2500,FALSE,NULL,5,20,2000
scenario336,20,5000,0.5,10,500,50,2500,FALSE,NULL,5,20,2000
scenario337,100,5000,0.5,10,500,50,2500,TRUE,0.42,5,20,2000
scenario338,50,5000,0.5,10,500,50,2500,TRUE,0.42,5,20,2000
scenario339,20,5000,0.5,10,500,50,2500,TRUE,0.42,5,20,2000
scenario340,100,5000,0.5,10,500,50,4000,FALSE,NULL,5,20,2000
scenario341,50,5000,0.5,10,500,50,4000,FALSE,NULL,5,20,2000
scenario342,20,5000,0.5,10,500,50,4000,FALSE,NULL,5,20,2000
scenario343,100,5000,0.5,10,500,50,4000,TRUE,0.42,5,20,2000
scenario344,50,5000,0.5,10,500,50,4000,TRUE,0.42,5,20,2000
scenario345,20,5000,0.5,10,500,50,4000,TRUE,0.42,5,20,2000
scenario346,100,5000,0.5,10,500,50,8000,FALSE,NULL,5,20,2000
scenario347,50,5000,0.5,10,500,50,8000,FALSE,NULL,5,20,2000
scenario348,20,5000,0.5,10,500,50,8000,FALSE,NULL,5,20,2000
scenario349,100,5000,0.5,10,500,50,8000,TRUE,0.42,5,20,2000
scenario350,50,5000,0.5,10,500,50,8000,TRUE,0.42,5,20,2000
scenario351,20,5000,0.5,10,500,50,8000,TRUE,0.42,5,20,2000
scenario352,100,5000,0.5,10,500,50,4000,FALSE,NULL,5,10,2000
scenario353,50,5000,0.5,10,500,50,4000,FALSE,NULL,5,10,2000
scenario354,20,5000,0.5,10,500,50,4000,FALSE,NULL,5,10,2000
scenario355,100,5000,0.5,10,500,50,4000,TRUE,0.42,5,10,2000
scenario356,50,5000,0.5,10,500,50,4000,TRUE,0.42,5,10,2000
scenario357,20,5000,0.5,10,500,50,4000,TRUE,0.42,5,10,2000
scenario358,100,5000,0.5,10,500,50,8000,FALSE,NULL,5,10,2000
scenario359,50,5000,0.5,10,500,50,8000,FALSE,NULL,5,10,2000
scenario360,20,5000,0.5,10,500,50,8000,FALSE,NULL,5,10,2000
scenario361,100,5000,0.5,10,500,50,8000,TRUE,0.42,5,10,2000
scenario362,50,5000,0.5,10,500,50,8000,TRUE,0.42,5,10,2000
scenario363,20,5000,0.5,10,500,50,8000,TRUE,0.42,5,10,2000
scenario364,100,5000,0.5,10,500,50,8000,FALSE,NULL,5,5,2000
scenario365,50,5000,0.5,10,500,50,8000,FALSE,NULL,5,5,2000
scenario366,20,5000,0.5,10,500,50,8000,FALSE,NULL,5,5,2000
scenario367,100,5000,0.5,10,500,50,8000,TRUE,0.42,5,5,2000
scenario368,50,5000,0.5,10,500,50,8000,TRUE,0.42,5,5,2000
scenario369,20,5000,0.5,10,500,50,8000,TRUE,0.42,5,5,2000
