regisno,animal_id,prefix,anm_name,sex,category,birth_date,regtype,mating,twin_code,disposal,frac1,brd2,frac2,brd3,frac3,ownr,breeder,sire_reg,dam_reg,dam_dob,birth_work_grp,birth_cont_grp,birth_wt,birth_adj,birth_no_conts,wean_work_grp,wean_cont_grp,wean_feed_code,wean_date,wean_wt,wean_adj,wean_no_conts,year_work_grp,year_cont_grp,year_date,year_wt,year_adj,year_no_conts,birth_cg_no,calv_ease
1000343,4149,GKC,RF_JESSI_023-6022-4149,C,A,2004-03-20,R,2,1,.,1000,.,.,.,.,56207,25222,757870,527452,1996-02-27,378376,R25579-29741,72,72,1,378376,133118,1,2004-09-23,546,592,1,773953,.,.,.,.,.,8,1
1003185,P7909,RABS,BROWN_MS_LIL_SAM_P7909,C,A,2004-01-05,R,3,1,11,1000,.,.,.,.,29376,26380,574873,766073,2001-01-27,612781,R1754482,64,64,1,612781,.,1,2004-09-06,537,460,1,304485,.,2005-01-29,775,723,1,.,1
1003195,P7920,RABS,BROWN-LSF_MS_JULIAN_P7920,C,A,2004-01-06,R,3,1,99,1000,.,.,.,.,66344,47420,387580,415666,1993-05-04,612781,R1754482,72,72,1,612781,.,1,2004-09-06,432,374,1,304485,.,2005-01-29,680,648,1,.,1
1003205,P7930,RABS,BROWN_MS_MONU_P7930,C,A,2004-02-05,R,3,1,99,1000,.,.,.,.,116844,104668,491246,648351,1998-09-14,612781,R1751672,74,74,1,612781,.,1,2004-09-08,570,554,1,304485,.,2005-01-29,735,747,1,.,1
1003217,P6856,RABR,BROWN_MS_MAJOR_LEAGUE_P6856,C,A,2004-02-23,R,3,1,8,1000,.,.,.,.,84766,26380,832407,794697,2001-01-23,612781,R1675968-1,72,72,1,612781,1,1,2004-09-08,450,463,1,.,.,.,.,.,.,.,1
1003227,P7947,RABS,BROWN-CBAR_MS_ABIGRACE_P7947,C,A,2004-03-10,R,3,1,99,1000,.,.,.,.,49853,26380,574873,794710,2001-01-18,612781,R1754168,96,96,1,612781,.,1,2004-10-28,714,642,1,.,.,.,.,.,.,.,1
1003228,P7948,RABS,BROWN-CBAR_MS_ABIGRACE_P7948,C,A,2004-03-12,R,3,1,.,1000,.,.,.,.,113135,26380,574873,794710,2001-01-18,612781,R1754168,91,91,1,612781,.,1,2004-10-28,662,600,1,.,.,.,.,.,.,.,1
1003554,P7945,RABS,BROWN_MS_GRACIE_P7945,C,A,2004-09-22,R,3,1,99,1000,.,.,.,.,59293,26380,574873,794710,2001-01-18,612453,R1716005-1,76,76,1,332002,1,1,2005-03-15,620,717,1,332002,1,2005-10-18,1047,1032,1,.,1
1004792,372,OHLC,OH_MS_PATRIOT_372,C,2,2003-03-02,R,2,1,.,1000,.,.,.,.,56386,56386,702463,392596,1992-03-07,611294,R1629039-7,70,71,70,611294,23,1,2003-08-20,408,493,33,817413,.,.,.,.,.,.,1
1006798,21P0,DES,BASIN_ROSE_21P0,C,A,2004-02-28,R,3,1,99,1000,.,.,.,.,64952,25892,438816,589553,1996-02-27,612450,R1756733,95,95,1,612450,.,1,2004-10-11,740,680,1,612450,.,2005-03-08,975,934,1,.,1
1006811,710P,DES,BASIN_ROSE_710P,C,2,2004-03-21,R,3,1,.,1000,.,.,.,.,95450,95450,CA867594,589553,1996-02-27,612450,R1753352,86,86,1,612450,.,1,2004-10-04,520,537,1,612450,.,2005-03-08,770,804,1,.,1
1012141,P26,JSR,RCC_MISS_PHYLIS_P26,C,A,2004-09-09,R,2,1,14,1000,.,.,.,.,65158,65158,818607,882035,2002-08-28,612905,R1610119-5,72,76,7,612905,15,1,2005-04-27,566,566,2,326754,7,2005-10-26,876,839,2,.,1
1012154,P13,JSR,RCC_MISS_P13,C,3,2004-09-01,R,2,1,14,750,XX,250,.,.,65158,65158,882039,3433682,.,612905,R1610119-4,67,67,8,612905,11,1,2005-04-27,512,.,1,326754,4,2005-10-26,772,.,1,.,2
1012719,478,BMFD,CRS_DIAMND_ROMEO_478,B,A,2004-05-22,R,1,1,15,1000,.,.,.,.,86746,50502,795492,877715,2002-08-06,612405,R1652324-7,82,86,25,612405,15,2,2004-12-28,586,612,25,320474,14,2005-06-09,880,901,22,.,1
1012848,4255,FORD,PANHANDLE_SANDMAN_4255,B,A,2004-08-26,R,2,1,16,1000,.,.,.,.,50502,50502,761543,592020,1997-04-04,612405,R1652324-1,86,86,49,612405,2,1,2004-12-28,400,605,1,320474,2,2005-06-09,636,837,1,.,1
1014538,54P,1BWJ,1BWJ_BARMAID_54P,C,A,2004-08-31,R,3,1,.,1000,.,.,.,.,120958,75218,574873,855307,2002-03-26,612439,R24848-52920,69,69,1,612439,218644,1,2005-04-14,562,516,1,322755,48152,2005-08-22,734,728,1,.,1
1014540,56P,1BWJ,1BWJ_LANA_56P,C,A,2004-09-02,R,3,1,.,1000,.,.,.,.,75218,75218,795492,854546,2002-03-07,612439,R1729523-1,65,65,1,612439,1,1,2005-04-14,450,417,1,322755,1,2005-08-22,646,658,1,.,1
1016126,33R,LRLD,LAKOTA_33R,C,A,2005-03-08,R,1,1,14,1000,.,.,.,.,67162,67162,574873,586775,1997-03-08,310721,R1584007-1,83,83,1,323638,1,1,2005-09-17,710,749,1,817984,.,.,.,.,.,.,1
1018006,4511,OHLC,OH_MS_EMULOUS_EMB_4511,C,2,2004-09-09,R,1,1,.,1000,.,.,.,.,56386,56386,CA1541351,877538,2001-02-23,543490,R1643768-2,72,74,51,543490,3,1,2005-05-06,498,475,50,817055,.,.,.,.,0,.,1
1018013,4527,OHLC,OH_MS_EMULOUS_HMR_4527,C,2,2004-09-16,R,1,1,.,1000,.,.,.,.,56386,56386,US13235197,427309,1993-03-09,543490,R1643768-2,76,77,51,543490,3,1,2005-05-06,412,397,50,817413,.,.,.,.,0,.,1
1018026,4523,OHLC,OH_MS_EMULOUS_HMR_4523,C,2,2004-09-15,R,1,1,.,1000,.,.,.,.,56386,56386,US13235197,549435,1996-04-29,543490,R1643768-2,74,74,51,543490,3,1,2005-05-06,518,479,50,817413,.,.,.,.,0,.,1
1018027,4515,OHLC,OH_MS_DYNAMO_EMB_4515,C,2,2004-09-13,R,1,1,90,1000,.,.,.,.,56386,56386,CA1541351,593434,1997-02-25,543490,R1643768-2,62,62,51,543490,3,1,2005-05-06,542,493,50,817413,.,.,.,.,0,.,1
1018030,4530,OHLC,OH_MS_EMULOUS_MM_4530,C,2,2004-09-17,R,2,1,.,1000,.,.,.,.,56386,56386,890917,593369,1997-04-30,543490,R1643768-2,74,74,51,543490,3,1,2005-05-06,512,473,50,817413,.,.,.,.,0,.,1
1019243,558,HCFA,HCFA_BLACKCAP_558,C,A,2005-03-02,R,3,1,99,1000,.,.,.,.,26172,59519,574873,873264,2002-03-17,612445,R1728814-1,64,64,1,322593,1,2,2005-08-06,400,503,1,.,.,.,.,.,.,.,1
1019363,547,1GL,LRA_MS._MONU_547,C,A,2005-03-08,R,1,1,99,1000,.,.,.,.,93024,53046,491246,531801,1996-03-14,324354,R1575877-2,74,74,9,324354,3,2,2005-09-28,660,663,9,.,.,.,.,.,.,.,1
1021353,1005,NLB,BC_COMBO,B,A,2005-01-23,R,1,1,16,1000,.,.,.,.,70699,70699,833209,775057,2001-02-12,316742,R1629442-2,73,74,1,333598,3,1,2005-10-24,760,603,1,.,.,.,.,.,.,.,1
1021800,P7502,RABS,BROWN_C-MS_ABIGRACE_V_P7502,C,A,2004-10-02,R,3,1,90,1000,.,.,.,.,66344,26380,648319,794710,2001-01-18,323674,R1752756,98,98,1,323674,.,1,2005-05-12,624,584,1,.,.,.,.,.,.,.,1
1022632,507,GHCC,PARKER_MISSILE_507,B,A,2005-01-08,R,1,1,16,1000,.,.,.,.,54667,54667,335067,798907,2001-03-01,612443,R1618332-3,77,79,13,612443,3,1,2005-08-06,705,714,13,336486,2,2006-02-07,1065,1027,9,.,1
1023472,0105,DRA,DRA_CHEROKEE_MARIE_0105,C,A,2005-01-23,R,1,1,.,1000,.,.,.,.,86684,86684,574873,898050,2003-02-02,318918,R1748203-3,68,75,1,318918,1,1,2005-08-17,570,628,1,335650,1,2006-01-06,740,820,1,5,1
1023649,P532,NSF,NSF_ICON_P532,B,A,2004-09-13,R,1,1,14,1000,.,.,.,.,23700,23258,833209,889797,2002-09-23,612402,R1611726-5,72,76,51,612402,10,1,2005-05-09,770,733,6,323557,9,2005-09-15,1285,1372,3,.,1
1024932,5520,UBAR,UBAR_HIGH_CAPACITY_5520,B,A,2005-04-04,R,2,1,15,1000,.,.,.,.,57416,57416,864114,683667,1999-03-31,612406,R1640032-3,80,80,43,326967,8,1,2005-09-25,720,834,29,338750,9,2006-02-13,1090,1254,27,.,1
1025489,520,KRN,RAISLAND'S_REBA_520,C,A,2005-02-22,R,1,1,2,1000,.,.,.,.,23388,21270,533603,475841,1995-02-12,612433,R1552449-2,81,81,18,612433,3,1,2005-09-13,785,792,15,338499,3,2006-03-16,1085,1053,14,.,1
1025665,R10,DKK,DKK_MAJESTIC_R10,B,A,2005-01-16,R,1,1,14,1000,.,.,.,.,25959,4325,833209,834908,2002-01-13,612407,R1553149-1,81,85,42,612407,1,1,2005-09-30,825,724,27,612407,2,2006-01-03,1080,1155,15,.,1
1025891,R9,FRI,FEDDES_BIG_SKY_R9,B,A,2005-01-18,R,1,1,16,1000,.,.,.,.,26772,31083,663262,906724,2003-01-24,618463,R1577859-2,74,81,70,618463,4,1,2005-09-07,790,783,58,334162,3,2006-01-21,1295,1379,57,.,1
